trace,taskset,arrival_mode,seed,load_factor,policy,metric,relative_loss
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.70,42,0.7,sota_quadrant_composite,mean_flow,0.009660755062110837
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.70,42,0.7,sota_gavel_finish_time_fairness,mean_flow,0.028909343725989745
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.70,42,0.7,sota_sia_pollux_resource_adaptive,mean_flow,0.05658946439181767
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.70,42,0.7,sota_salus_iadeep_packing_guard,mean_flow,0.028909343725989745
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.70,43,0.7,sota_gavel_pollux_sia_table_goodput,mean_flow,0.022343260013580224
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.70,43,0.7,sota_quadrant_composite,mean_flow,0.022343260013580224
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.70,43,0.7,sota_gavel_finish_time_fairness,mean_flow,0.05412849980509482
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.70,43,0.7,sota_sia_pollux_resource_adaptive,mean_flow,0.06017841592549633
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.70,43,0.7,sota_salus_iadeep_packing_guard,mean_flow,0.05412849980509482
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.85,41,0.85,sota_gavel_finish_time_fairness,mean_flow,0.007486888937643821
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.85,41,0.85,sota_sia_pollux_resource_adaptive,mean_flow,0.024659494444887686
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.85,41,0.85,sota_salus_iadeep_packing_guard,mean_flow,0.007486888937643821
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.85,42,0.85,sota_iadeep_salus_interference_guard,mean_flow,0.008622944121629228
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.85,42,0.85,sota_gavel_finish_time_fairness,mean_flow,0.014380740308234552
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.85,42,0.85,sota_sia_pollux_resource_adaptive,mean_flow,0.036618388102150234
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.85,42,0.85,sota_salus_iadeep_packing_guard,mean_flow,0.014380740308234552
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.85,43,0.85,sota_gavel_pollux_sia_table_goodput,mean_flow,0.0053942758108391775
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.85,43,0.85,sota_srpt_gittins_mean_flow_oracle,mean_flow,0.018008319050672572
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.85,43,0.85,sota_quadrant_composite,mean_flow,0.0053942758108391775
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.85,43,0.85,sota_sia_pollux_resource_adaptive,makespan,0.007366322065433639
q01_gpu_bound_cnn_resnet50_bursty_load0.85_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.85,43,0.85,sota_sia_pollux_resource_adaptive,mean_flow,0.056743669670631824
q01_gpu_bound_cnn_resnet50_bursty_load0.95_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.95,41,0.95,sota_sia_pollux_resource_adaptive,mean_flow,0.039681433048427195
q01_gpu_bound_cnn_resnet50_bursty_load0.95_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.95,42,0.95,sota_gavel_finish_time_fairness,mean_flow,0.009777729278944047
